ckpt,ckpt_path,started_at,finished_at,total_wall_seconds,talent_avg_acc,talent_wall_seconds,talent_discovered_pairs,talent_processed_pairs,talent_failed_count,talent_missing_test_count
step-450.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-450.ckpt,2026-02-05 15:49:53,2026-02-05 15:53:50,235.833000,0.508918,235.833,175,175,0,0
step-500.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-500.ckpt,2026-02-05 15:53:50,2026-02-05 15:57:47,235.547000,0.523167,235.547,175,175,0,0
step-550.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-550.ckpt,2026-02-05 15:57:47,2026-02-05 16:01:43,235.450000,0.538588,235.450,175,175,0,0
step-600.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-600.ckpt,2026-02-05 16:01:43,2026-02-05 16:05:40,235.383000,0.543163,235.383,175,175,0,0
step-650.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-650.ckpt,2026-02-05 16:05:40,2026-02-05 16:09:37,235.682000,0.545649,235.682,175,175,0,0
step-700.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-700.ckpt,2026-02-05 16:09:37,2026-02-05 16:13:36,237.624000,0.556065,237.624,175,175,0,0
step-750.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-750.ckpt,2026-02-05 16:13:36,2026-02-05 16:17:34,236.832000,0.565912,236.832,175,175,0,0
step-800.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-800.ckpt,2026-02-05 16:17:34,2026-02-05 16:21:32,237.128000,0.558321,237.128,175,175,0,0
step-850.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-850.ckpt,2026-02-05 16:21:32,2026-02-05 16:25:28,234.344000,0.548578,234.344,175,175,0,0
step-900.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-900.ckpt,2026-02-05 16:25:28,2026-02-05 16:29:25,235.803000,0.564080,235.803,175,175,0,0
step-950.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-950.ckpt,2026-02-05 16:29:25,2026-02-05 16:33:22,236.194000,0.581947,236.194,175,175,0,0
step-1050.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1050.ckpt,2026-02-05 16:33:22,2026-02-05 16:37:20,236.299000,0.644599,236.299,175,175,0,0
step-1100.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1100.ckpt,2026-02-05 16:37:20,2026-02-05 16:41:18,237.150000,0.611949,237.150,175,175,0,0
step-1150.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1150.ckpt,2026-02-05 16:41:18,2026-02-05 16:45:16,236.899000,0.611511,236.899,175,175,0,0
step-1200.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1200.ckpt,2026-02-05 16:45:16,2026-02-05 16:49:15,237.667000,0.610396,237.667,175,175,0,0
step-1250.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1250.ckpt,2026-02-05 16:49:15,2026-02-05 16:53:15,237.870000,0.620252,237.870,175,175,0,0
step-1300.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1300.ckpt,2026-02-05 16:53:15,2026-02-05 16:57:15,238.667000,0.629574,238.667,175,175,0,0
step-1350.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1350.ckpt,2026-02-05 16:57:15,2026-02-05 17:01:13,237.450000,0.633080,237.450,175,175,0,0
step-1400.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1400.ckpt,2026-02-05 17:01:13,2026-02-05 17:05:12,237.820000,0.635793,237.820,175,175,0,0
step-1450.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1450.ckpt,2026-02-05 17:05:12,2026-02-05 17:09:12,238.033000,0.637087,238.033,175,175,0,0
step-1500.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-1500.ckpt,2026-02-05 17:09:12,2026-02-05 17:13:10,237.466000,0.641131,237.466,175,175,0,0
